MS Zoning,TotRms AbvGrd,House Style,Roof Matl,Mas Vnr Type,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,Overall Qual,Overall Cond,Bedroom AbvGr,Fireplace Qu,Garage Type,Fireplaces,Garage Cars,Sale Type,Gr Liv Area,Total Bsmt SF,Garage Area,1st Flr SF,Year Remod/Add,Year Built,Mas Vnr Area,BsmtFin SF 1,age of house,SalePrice
RM,9,2.5Unf,CompShg,None,3,3,3,3,1,1,6,6,3,4,NA,1,0.0,WD ,1484,742.0,0.0,742,2001,1914,0.0,0.0,107,128000
RM,4,1Story,CompShg,None,3,3,2,3,1,1,5,5,2,0,Detchd,0,2.0,WD ,764,680.0,504.0,764,2004,1925,0.0,0.0,96,73000
RL,6,1Story,CompShg,BrkFace,4,3,5,3,4,6,9,5,2,4,Attchd,1,3.0,WD ,1792,1792.0,874.0,1792,2004,2003,562.0,1567.0,18,374000
RL,10,2Story,CompShg,BrkFace,4,3,5,3,2,6,8,5,4,3,Attchd,1,3.0,WD ,2649,1479.0,746.0,1515,2002,2001,1110.0,1075.0,20,421250
RL,7,2Story,CompShg,None,3,3,4,3,1,1,6,5,3,3,BuiltIn,1,2.0,WD ,1593,808.0,389.0,808,1993,1992,0.0,0.0,29,178000
RL,6,SFoyer,CompShg,None,3,3,4,3,3,4,4,5,3,0,Detchd,0,2.0,WD ,1181,1138.0,588.0,1181,1972,1972,0.0,920.0,49,137500
RL,7,1Story,CompShg,BrkFace,4,3,4,3,4,6,8,5,2,3,Attchd,1,2.0,WD ,1987,1986.0,691.0,1987,1994,1994,554.0,1314.0,27,301500
RL,6,2Story,CompShg,None,3,3,3,3,1,1,6,6,3,4,Detchd,1,1.0,WD ,1242,583.0,180.0,647,1950,1935,0.0,0.0,86,105000
RL,4,1Story,CompShg,BrkFace,3,3,3,3,3,5,6,7,2,2,Attchd,1,2.0,WD ,976,976.0,504.0,976,2004,1968,203.0,760.0,53,157500
RM,6,1.5Fin,CompShg,None,3,3,3,3,1,1,5,3,2,0,Detchd,0,1.0,WD ,1214,969.0,216.0,969,1950,1901,0.0,0.0,120,117000
RL,5,1Story,CompShg,None,3,3,3,3,1,4,5,6,3,0,Attchd,0,1.0,WD ,864,864.0,336.0,864,1962,1962,0.0,468.0,59,105000
RL,6,1.5Fin,CompShg,None,3,3,3,3,1,1,6,5,3,0,Detchd,0,1.0,WD ,1639,1064.0,240.0,1166,1950,1936,0.0,0.0,85,115000
RL,7,1Story,CompShg,Stone,5,3,5,3,1,1,9,5,3,4,Attchd,1,3.0,WD ,1736,1736.0,834.0,1736,2008,2008,302.0,0.0,13,360000
RL,8,1Story,CompShg,None,3,3,0,0,0,0,5,5,4,0,Attchd,0,2.0,WD ,1535,0.0,400.0,1535,1979,1979,0.0,0.0,42,118858
RL,7,2Story,CompShg,BrkFace,3,3,3,3,1,6,6,8,4,0,Attchd,0,2.0,WD ,1632,800.0,484.0,800,2000,1966,252.0,400.0,55,173000
RL,4,1Story,CompShg,None,3,3,3,3,1,1,3,5,1,0,Detchd,0,1.0,WD ,725,630.0,320.0,725,1998,1890,0.0,0.0,131,78500
RL,7,2Story,CompShg,None,4,3,4,3,1,1,7,5,3,4,Attchd,1,2.0,WD ,1720,840.0,440.0,840,2004,2004,0.0,0.0,17,183500
RM,4,1Story,CompShg,None,2,3,2,3,1,1,4,4,2,0,Detchd,0,2.0,WD ,936,936.0,576.0,936,1953,1953,0.0,0.0,68,93000
RL,7,1Story,CompShg,BrkFace,4,3,4,3,4,6,8,5,2,3,Attchd,1,3.0,WD ,1589,1406.0,630.0,1589,2003,2003,72.0,1084.0,18,226500
RL,7,2Story,CompShg,None,4,3,4,3,1,1,6,7,3,3,Attchd,1,2.0,WD ,1571,799.0,380.0,799,1994,1993,0.0,0.0,28,178000
RL,7,1Story,CompShg,BrkFace,4,3,4,3,3,6,7,5,3,0,Attchd,0,2.0,WD ,1479,1453.0,558.0,1479,2003,2003,167.0,1013.0,18,226000
RL,7,2Story,CompShg,BrkFace,4,5,3,3,4,4,5,7,4,3,Attchd,1,2.0,WD ,1632,784.0,898.0,784,1969,1969,178.0,496.0,52,173000
RL,5,1Story,CompShg,None,3,3,3,3,1,3,5,5,3,1,Detchd,1,1.0,WD ,864,864.0,360.0,864,1965,1965,0.0,553.0,56,62383
RL,11,2Story,CompShg,Stone,5,3,5,3,3,6,9,5,3,4,Attchd,1,3.0,New,2713,1452.0,858.0,1476,2008,2008,268.0,1330.0,13,446261
RL,6,2Story,CompShg,None,3,3,3,3,1,5,7,8,3,4,Detchd,2,1.0,WD ,1479,624.0,312.0,743,1997,1926,0.0,424.0,95,160000
RM,7,1Story,CompShg,BrkFace,4,3,4,3,1,6,7,5,2,3,Attchd,1,3.0,WD ,1576,1393.0,668.0,1576,2004,2004,24.0,1087.0,17,219990
RL,6,1Story,CompShg,BrkFace,4,3,4,3,1,1,7,5,3,0,Attchd,0,2.0,WD ,1479,1468.0,577.0,1479,2000,1999,125.0,0.0,22,191000
RL,6,1Story,CompShg,None,3,4,3,3,1,2,5,7,1,4,Detchd,1,1.0,WD ,1060,756.0,308.0,916,1994,1925,0.0,317.0,96,136500
RL,5,1Story,CompShg,None,3,3,0,0,0,0,4,5,3,0,Detchd,0,1.0,WD ,943,0.0,308.0,943,1994,1958,0.0,0.0,63,80000
RL,9,1.5Fin,CompShg,BrkFace,4,4,4,4,1,6,7,5,4,0,Attchd,0,3.0,WD ,2183,1204.0,786.0,1377,1988,1988,178.0,1002.0,33,229000
RL,8,2Story,CompShg,BrkFace,4,3,4,3,1,6,7,5,3,3,Attchd,1,2.0,WD ,1949,1050.0,574.0,1062,1994,1993,246.0,750.0,28,236000
RL,8,1Story,CompShg,BrkFace,5,3,5,3,4,1,10,5,3,4,Attchd,1,3.0,New,1824,1824.0,932.0,1824,2007,2006,242.0,0.0,15,392000
RM,8,2Story,CompShg,None,3,3,3,2,1,4,6,5,4,0,Attchd,0,1.0,WD ,1930,720.0,316.0,1146,1950,1927,0.0,522.0,94,149000
FV,7,2Story,CompShg,None,5,3,4,3,2,4,10,5,2,3,Attchd,1,2.0,WD ,2393,970.0,846.0,1469,1999,1998,0.0,128.0,23,345000
RM,8,2Story,CompShg,None,4,4,2,3,1,1,5,8,5,0,Detchd,0,2.0,WD ,2014,716.0,624.0,1007,2005,1900,0.0,0.0,121,169000
RL,4,1Story,CompShg,None,3,3,3,3,1,1,4,5,2,0,Attchd,0,1.0,WD ,1242,484.0,336.0,1242,1950,1946,0.0,0.0,75,109900
RL,9,2Story,CompShg,BrkFace,3,3,4,3,3,2,7,5,3,3,Attchd,1,3.0,WD ,2000,996.0,650.0,996,1994,1993,94.0,758.0,28,188000
RM,6,1.5Fin,CompShg,None,3,2,3,3,1,1,6,6,4,4,Detchd,1,1.0,WD ,1412,780.0,280.0,825,1950,1939,0.0,0.0,82,132500
RL,5,1Story,CompShg,None,3,4,3,3,1,5,5,7,3,0,Attchd,0,1.0,WD ,990,990.0,440.0,990,1994,1994,0.0,755.0,27,143000
RL,7,1Story,CompShg,None,3,3,2,3,1,5,5,6,4,0,Detchd,0,1.0,WD ,1342,1342.0,256.0,1342,1951,1951,0.0,557.0,70,125000
RL,7,1Story,CompShg,BrkFace,5,3,5,3,4,6,9,5,2,4,Attchd,1,3.0,WD ,1868,1868.0,1085.0,1868,2005,2005,568.0,1505.0,16,415000
RM,6,2Story,CompShg,None,3,3,2,3,1,1,4,7,3,0,Detchd,0,2.0,WD ,1363,622.0,528.0,741,1950,1910,0.0,0.0,111,125500
RL,6,1Story,CompShg,BrkCmn,3,3,3,3,1,3,6,6,3,4,Attchd,1,1.0,WD ,1632,1240.0,338.0,1632,1988,1958,183.0,620.0,63,139000
RL,10,2Story,CompShg,Stone,5,3,5,3,4,6,10,5,3,4,BuiltIn,1,3.0,ConLI,2296,1722.0,842.0,1728,2008,2008,420.0,1338.0,13,451950
RL,10,1Story,CompShg,BrkFace,3,3,3,3,1,1,5,5,6,0,NA,0,0.0,WD ,1678,1678.0,0.0,1678,1959,1959,74.0,0.0,62,119900
RL,6,1Story,CompShg,BrkFace,4,3,5,3,1,6,8,5,2,0,Attchd,0,2.0,WD ,1296,1267.0,471.0,1296,2002,2001,136.0,1005.0,20,220000
RL,7,1Story,CompShg,BrkFace,3,3,3,3,1,4,6,6,3,4,Attchd,1,2.0,WD ,1587,1587.0,525.0,1587,1971,1971,302.0,838.0,50,167300
RL,6,1.5Fin,CompShg,None,3,3,3,3,1,3,5,6,3,4,Detchd,2,1.0,WD ,1298,720.0,256.0,854,1950,1941,0.0,626.0,80,122000
RM,10,1Story,CompShg,BrkFace,3,3,3,3,1,3,5,5,6,0,Detchd,0,2.0,ConLI,1728,1728.0,504.0,1728,1963,1963,336.0,1332.0,58,125000
RM,5,1Story,CompShg,None,3,3,3,3,1,3,5,6,3,0,Attchd,0,1.0,WD ,928,928.0,288.0,928,1957,1957,0.0,308.0,64,112500
RL,7,2Story,CompShg,None,4,3,4,3,4,1,7,5,3,0,Attchd,0,2.0,WD ,1795,879.0,578.0,879,2006,2005,0.0,0.0,16,191000
RL,5,1Story,CompShg,BrkFace,3,4,3,3,1,4,6,7,3,0,Attchd,0,1.0,WD ,1080,1080.0,288.0,1080,1958,1958,135.0,570.0,63,136000
RL,6,2Story,CompShg,None,3,3,4,3,3,1,7,5,3,0,Attchd,0,2.0,WD ,1779,866.0,546.0,866,1998,1998,0.0,0.0,23,197900
RM,5,1.5Fin,CompShg,None,3,4,3,2,1,1,6,8,2,0,Attchd,0,1.0,WD ,1635,485.0,255.0,1001,2003,1910,0.0,0.0,111,117000
RL,6,1Story,CompShg,Stone,4,3,4,3,3,6,7,5,2,0,Attchd,0,2.0,New,1220,1199.0,632.0,1220,2006,2006,84.0,684.0,15,194000
FV,5,1Story,CompShg,BrkFace,4,3,5,3,3,6,9,5,1,3,Attchd,1,2.0,WD ,1310,1310.0,545.0,1310,2001,2001,179.0,1004.0,20,285000
RL,6,1.5Fin,CompShg,None,3,4,3,3,1,5,5,7,4,0,NA,0,0.0,WD ,1355,644.0,0.0,808,1999,1940,0.0,351.0,81,127500
RL,9,2Story,CompShg,None,4,3,4,3,1,6,7,5,4,3,Attchd,1,2.0,WD ,2295,1095.0,590.0,1166,2000,1992,0.0,728.0,29,268000
RM,7,2Story,CompShg,None,3,3,3,3,1,1,4,8,4,0,Detchd,0,2.0,WD ,1798,1075.0,342.0,1156,1950,1900,0.0,0.0,121,137000
RL,8,1Story,CompShg,None,3,3,3,3,1,5,7,7,4,4,Attchd,1,2.0,WD ,1620,1620.0,578.0,1620,1967,1967,0.0,603.0,54,215000
RL,5,1Story,CompShg,None,3,3,3,3,1,3,5,5,3,0,Attchd,0,1.0,WD ,1216,1216.0,336.0,1216,1955,1955,0.0,288.0,66,129500
RM,7,1.5Fin,CompShg,None,3,3,4,3,1,1,5,4,3,0,Detchd,0,1.0,WD ,1344,896.0,240.0,896,1950,1936,0.0,0.0,85,115000
RL,5,1.5Fin,CompShg,None,3,4,3,3,1,1,5,8,3,0,Detchd,0,1.0,WD ,1159,747.0,288.0,747,1950,1925,0.0,0.0,96,114000
RH,5,1Story,CompShg,None,3,3,3,3,1,3,4,4,2,0,Detchd,0,1.0,WD ,1056,1056.0,384.0,1056,1966,1966,0.0,1056.0,55,107000
RL,6,1.5Fin,CompShg,None,3,3,3,3,1,3,5,5,2,0,Detchd,0,1.0,COD,1216,832.0,336.0,832,1950,1947,0.0,442.0,74,118500
RM,5,1.5Fin,CompShg,None,3,3,3,3,1,1,6,7,3,4,BuiltIn,1,1.0,WD ,1158,862.0,208.0,950,1950,1929,0.0,0.0,92,120000
RL,7,1Story,CompShg,BrkFace,4,3,4,3,3,6,8,5,3,0,Attchd,0,2.0,WD ,1538,1538.0,484.0,1538,2005,2005,148.0,769.0,16,260000
RL,6,1Story,CompShg,BrkFace,3,3,3,3,1,4,5,5,3,0,Attchd,0,1.0,WD ,1143,1143.0,308.0,1143,1959,1959,150.0,856.0,62,136000
RL,5,1Story,CompShg,None,3,3,3,3,1,1,4,5,3,0,Detchd,0,4.0,WD ,872,858.0,480.0,872,1971,1971,0.0,0.0,50,123000
RM,6,1.5Fin,CompShg,None,3,2,3,3,1,1,6,7,3,0,NA,0,0.0,WD ,1406,319.0,0.0,1035,1950,1920,0.0,0.0,101,89500
RL,6,1Story,CompShg,None,4,3,4,3,1,1,6,5,3,0,Attchd,0,2.0,WD ,1324,1324.0,430.0,1324,2005,2005,0.0,0.0,16,199500
RL,6,1Story,CompShg,BrkCmn,3,3,3,3,1,1,5,7,3,0,Attchd,0,1.0,WD ,904,876.0,408.0,904,1966,1966,41.0,0.0,55,109900
RL,9,2Story,CompShg,None,4,3,4,3,1,1,7,9,3,4,Detchd,2,1.0,WD ,2080,1276.0,282.0,1276,2004,1926,0.0,0.0,95,234000
RM,3,1Story,CompShg,BrkFace,4,3,4,3,2,6,6,5,1,4,Attchd,1,2.0,WD ,848,848.0,420.0,848,2004,2004,169.0,662.0,17,155900
RL,8,1.5Fin,CompShg,None,3,3,3,3,3,1,4,5,5,3,Attchd,2,1.0,WD ,1788,1104.0,304.0,1104,1989,1957,0.0,0.0,64,161500
RL,7,SLvl,CompShg,BrkFace,3,3,3,3,1,6,6,6,3,4,Basment,1,2.0,COD,1344,819.0,525.0,1344,1958,1958,541.0,111.0,63,137500
RM,12,2Story,CompShg,None,3,2,3,3,2,1,5,3,4,0,NA,0,0.0,WD ,2256,840.0,0.0,1128,1950,1910,0.0,0.0,111,76500
RL,8,2Story,CompShg,BrkFace,4,3,4,3,1,6,6,5,4,3,Attchd,1,2.0,WD ,2060,1151.0,521.0,1164,1989,1988,268.0,831.0,33,211000
RH,5,1Story,CompShg,None,4,3,4,3,1,6,6,5,2,0,Attchd,0,2.0,COD,1337,1405.0,511.0,1337,1999,1998,0.0,266.0,23,181000
RL,6,SLvl,CompShg,BrkFace,3,3,3,3,4,3,6,7,3,0,Attchd,0,2.0,WD ,1165,1127.0,490.0,1165,1966,1966,183.0,312.0,55,174900
RL,6,SLvl,CompShg,BrkFace,3,3,3,3,3,2,5,6,3,2,Attchd,2,2.0,WD ,1320,1164.0,564.0,1320,1966,1966,97.0,328.0,55,164500
RL,7,1Story,CompShg,BrkFace,4,3,4,3,1,6,7,5,3,0,Attchd,0,2.0,WD ,1535,1517.0,532.0,1535,2004,2004,168.0,2.0,17,214000
RL,7,2Story,CompShg,BrkFace,3,3,4,3,2,1,7,6,3,3,Attchd,1,2.0,WD ,2044,738.0,489.0,1277,1988,1980,280.0,0.0,41,185000
RM,6,1.5Fin,CompShg,None,3,3,3,3,1,4,4,7,2,0,Detchd,0,1.0,WD ,1136,704.0,336.0,624,1950,1929,0.0,80.0,92,123000
RL,5,SFoyer,CompShg,None,3,3,4,3,3,6,6,6,2,1,BuiltIn,1,2.0,WD ,1299,1001.0,486.0,1299,1979,1979,0.0,1001.0,42,183500
FV,5,2Story,CompShg,BrkFace,4,3,4,3,1,1,8,5,2,0,Detchd,0,2.0,WD ,1441,776.0,492.0,764,2000,1999,456.0,0.0,22,174000
RL,6,1Story,CompShg,None,3,3,3,3,1,3,5,5,3,3,Detchd,1,2.0,COD,1630,1073.0,649.0,1630,1953,1953,0.0,587.0,68,130000
RM,6,2Story,CompShg,None,3,3,3,4,1,2,7,7,3,4,Detchd,1,2.0,WD ,1641,728.0,546.0,832,1990,1925,0.0,16.0,96,178000
RL,6,2Story,CompShg,None,3,3,4,3,1,6,5,5,3,3,Attchd,1,2.0,WD ,1629,928.0,482.0,928,1998,1997,0.0,791.0,24,189900
RM,4,1Story,CompShg,BrkFace,4,3,4,3,3,6,6,5,1,0,Attchd,0,2.0,WD ,848,848.0,420.0,848,2004,2003,170.0,685.0,18,144000
RM,5,1Story,CompShg,None,4,4,3,3,3,5,6,8,2,0,Detchd,0,1.0,WD ,816,816.0,432.0,816,2007,1930,0.0,538.0,91,120500
RL,6,1Story,CompShg,None,3,3,4,3,1,1,5,5,3,0,Attchd,0,2.0,WD ,1097,1097.0,672.0,1097,1995,1994,0.0,0.0,27,145000
RL,6,1Story,CompShg,None,4,3,4,3,3,6,8,5,2,0,Attchd,0,2.0,WD ,1652,1494.0,499.0,1652,2000,2000,0.0,1196.0,21,251000
RL,8,1Story,CompShg,None,3,3,3,3,1,1,4,5,4,0,NA,0,0.0,WD ,1768,1768.0,0.0,1768,1968,1968,0.0,0.0,53,136500
RL,6,1Story,CompShg,BrkCmn,3,3,0,0,0,0,4,5,2,0,NA,0,0.0,WD ,1152,0.0,0.0,1152,1955,1955,58.0,0.0,66,82500
I (all),4,1Story,CompShg,None,2,2,0,0,0,0,2,4,1,0,Detchd,0,1.0,ConLD,810,0.0,280.0,810,1950,1910,0.0,0.0,111,57625
RL,6,1Story,CompShg,Stone,4,3,4,3,1,6,7,5,2,4,Attchd,1,2.0,WD ,1358,1350.0,484.0,1358,2008,2007,176.0,876.0,14,212500
RM,5,1Story,CompShg,BrkFace,3,3,5,3,1,6,6,5,2,0,Attchd,0,2.0,WD ,1216,1216.0,402.0,1216,1998,1998,116.0,897.0,23,164000
RM,6,1.5Fin,CompShg,BrkFace,3,3,3,3,1,1,6,5,4,0,Detchd,0,1.0,WD ,1638,967.0,384.0,967,1957,1957,327.0,0.0,64,139000
FV,4,2Story,CompShg,BrkFace,4,3,4,3,1,4,7,5,2,0,Detchd,0,2.0,WD ,1252,600.0,462.0,624,2000,1999,212.0,510.0,22,160000
RL,5,SFoyer,CompShg,None,3,3,4,3,3,6,5,6,2,2,Detchd,1,2.0,WD ,883,828.0,698.0,883,1993,1992,0.0,718.0,29,149000
RL,5,1Story,CompShg,None,3,3,3,3,1,4,5,6,3,0,Attchd,0,1.0,WD ,874,864.0,288.0,874,1968,1968,0.0,510.0,53,130000
RM,9,2Story,CompShg,None,3,3,3,3,1,1,7,6,3,0,Detchd,0,2.0,WD ,1710,576.0,480.0,902,1950,1921,0.0,0.0,100,140000
FV,8,1Story,CompShg,BrkFace,4,3,4,3,1,1,8,5,3,4,Attchd,1,2.0,New,1836,1836.0,517.0,1836,2009,2008,288.0,0.0,13,264500
RL,6,1Story,CompShg,None,3,3,3,3,1,3,5,5,2,3,Attchd,1,1.0,WD ,1092,1092.0,299.0,1092,1957,1957,0.0,895.0,64,141000
FV,4,1Story,CompShg,None,4,3,4,3,1,6,7,5,1,0,Attchd,0,2.0,New,1241,1241.0,569.0,1241,2007,2006,0.0,1106.0,15,199900
RL,6,1Story,CompShg,BrkFace,3,3,4,3,1,5,6,5,2,3,Attchd,1,2.0,WD ,1334,1350.0,630.0,1334,1977,1977,360.0,686.0,44,167900
RL,7,1Story,CompShg,BrkFace,3,3,3,3,1,4,6,6,3,4,Attchd,2,2.0,WD ,1429,1144.0,572.0,1429,1987,1960,85.0,594.0,61,181900
FV,7,1Story,CompShg,Stone,4,3,4,3,3,6,8,5,3,0,Attchd,0,2.0,WD ,1566,1566.0,750.0,1566,2008,2008,36.0,1078.0,13,262500
RL,8,2Story,CompShg,BrkFace,3,4,4,3,1,6,7,7,4,3,Attchd,2,2.0,WD ,2288,908.0,520.0,1316,1992,1977,283.0,432.0,44,230000
FV,5,1Story,CompShg,BrkFace,4,3,5,3,3,6,9,5,2,3,Attchd,1,2.0,CWD,1709,1698.0,506.0,1709,2000,1999,60.0,1238.0,22,328900
RL,7,1Story,CompShg,BrkFace,4,3,4,3,1,6,8,5,3,0,Attchd,0,2.0,WD ,1721,1721.0,554.0,1721,2005,2005,210.0,119.0,16,232698
RL,5,1Story,CompShg,BrkFace,4,3,4,3,3,6,8,5,2,0,Attchd,0,3.0,WD ,1254,1254.0,810.0,1254,2008,2008,140.0,872.0,13,221800
RL,6,1.5Fin,CompShg,None,3,3,3,3,1,5,5,7,2,0,2Types,0,3.0,WD ,1350,576.0,627.0,864,1973,1941,0.0,336.0,80,152400
RL,6,1Story,CompShg,BrkFace,4,3,4,3,1,1,7,5,3,3,Attchd,1,2.0,WD ,1630,1630.0,451.0,1630,2001,2000,171.0,0.0,21,213000
RL,7,2Story,CompShg,BrkFace,4,3,4,3,1,1,7,5,3,0,Attchd,0,2.0,WD ,1585,784.0,449.0,831,2005,2005,96.0,0.0,16,184900
RL,5,1Story,CompShg,BrkFace,3,3,3,3,2,4,5,5,2,4,Attchd,2,1.0,WD ,1336,1165.0,375.0,1336,1953,1953,56.0,841.0,68,157000
RL,6,1Story,CompShg,None,3,3,3,3,1,4,5,6,2,3,Detchd,1,2.0,WD ,1211,864.0,576.0,1211,2002,1962,0.0,612.0,59,144000
RL,5,1Story,CompShg,BrkFace,3,3,4,3,1,6,6,5,2,3,Attchd,1,2.0,WD ,1353,1259.0,478.0,1353,1999,1979,253.0,903.0,42,192350
RL,6,1Story,CompShg,BrkFace,3,3,3,3,1,4,7,6,3,3,Attchd,1,2.0,CWD,1200,1174.0,440.0,1200,1966,1966,202.0,654.0,55,163500
RL,10,2Story,CompShg,BrkFace,3,3,4,3,1,6,7,5,4,5,Attchd,1,2.0,WD ,2329,1475.0,514.0,1532,1990,1990,99.0,1085.0,31,262280
RL,7,1Story,CompShg,BrkFace,4,3,4,3,3,6,7,5,3,0,Attchd,0,2.0,WD ,1536,1536.0,532.0,1536,2003,2002,113.0,810.0,19,214000
RL,6,1Story,CompShg,None,3,3,3,3,1,5,6,7,2,4,Attchd,1,2.0,WD ,1811,1073.0,470.0,1811,2004,1956,0.0,296.0,65,230000
RL,9,2Story,CompShg,BrkFace,4,3,5,4,1,1,7,5,3,4,Attchd,1,3.0,New,2172,1063.0,947.0,1071,2006,2006,350.0,0.0,15,280000
C (all),6,1Story,CompShg,None,3,3,3,3,1,6,4,6,3,0,Detchd,0,2.0,WD ,1073,1073.0,720.0,1073,1980,1957,0.0,967.0,64,140000
RL,7,2Story,CompShg,BrkFace,3,3,3,3,1,1,6,5,4,3,Attchd,1,2.0,WD ,1839,756.0,442.0,1051,1966,1966,351.0,0.0,55,155000
C (all),5,1.5Unf,CompShg,None,2,2,3,2,1,1,3,3,2,0,NA,0,0.0,ConLD,1020,1020.0,0.0,1020,1950,1918,0.0,0.0,103,64500
RL,8,2Story,CompShg,BrkFace,4,4,4,3,1,6,6,7,3,4,2Types,1,4.0,WD ,1802,946.0,1017.0,964,1993,1993,85.0,860.0,28,218000
RL,6,SLvl,CompShg,BrkFace,3,3,3,5,3,5,5,7,3,2,Detchd,1,2.0,WD ,1009,995.0,576.0,1009,1977,1977,51.0,755.0,44,160000
FV,6,1Story,CompShg,None,4,3,4,3,1,6,8,5,3,0,Attchd,0,2.0,New,1338,1338.0,598.0,1338,2007,2007,0.0,24.0,14,208900
RL,11,1Story,CompShg,None,3,3,0,0,0,0,5,7,5,4,Attchd,2,2.0,WD ,3820,0.0,624.0,3820,1996,1959,0.0,0.0,62,284700
FV,5,2Story,CompShg,None,4,3,4,3,1,1,7,5,2,0,Detchd,0,2.0,WD ,1392,689.0,540.0,703,2007,2007,0.0,0.0,14,146000
RL,4,1Story,CompShg,None,4,3,4,3,1,6,8,5,1,4,Attchd,2,2.0,WD ,1288,1260.0,500.0,1288,1996,1996,0.0,786.0,25,245500
RM,6,1.5Unf,CompShg,None,3,3,3,3,1,1,6,7,3,0,Detchd,0,1.0,WD ,1013,992.0,160.0,1013,1950,1926,0.0,0.0,95,113000
RL,7,1Story,CompShg,BrkFace,4,3,5,3,4,6,8,5,3,4,Attchd,2,3.0,WD ,1782,1782.0,932.0,1782,2005,2004,238.0,1531.0,17,296000
RL,8,1Story,CompShg,Stone,4,3,5,3,4,6,9,5,3,4,Attchd,1,3.0,WD ,1922,1922.0,676.0,1922,2006,2005,200.0,1249.0,16,377426
RL,7,1Story,CompShg,Stone,5,3,5,3,4,6,10,5,3,4,Attchd,1,3.0,WD ,1718,1700.0,786.0,1718,2007,2006,230.0,1172.0,15,337500
RL,8,1Story,CompShg,Stone,5,3,5,3,4,6,10,5,2,5,Attchd,1,3.0,WD ,2492,2492.0,949.0,2492,2005,2004,730.0,2146.0,17,552000
RL,5,1.5Fin,CompShg,None,3,4,2,3,2,1,4,7,3,0,Attchd,0,1.0,WD ,936,624.0,265.0,624,1950,1948,0.0,0.0,73,97900
FV,4,1Story,CompShg,None,4,3,4,3,1,6,6,5,2,0,Attchd,0,2.0,New,1218,1218.0,676.0,1218,2009,2009,0.0,27.0,12,208300
RL,8,2Story,CompShg,None,3,3,4,3,2,1,7,5,3,3,Attchd,1,3.0,WD ,1820,910.0,816.0,910,1997,1996,0.0,0.0,25,213000
RL,8,2Story,CompShg,None,3,3,4,3,3,1,7,5,3,0,Attchd,0,2.0,WD ,1724,880.0,527.0,880,1999,1998,0.0,0.0,23,188000
RL,7,1Story,CompShg,BrkFace,3,3,3,3,1,3,6,6,3,3,Attchd,1,2.0,WD ,1336,1121.0,488.0,1336,1958,1958,632.0,203.0,63,162000
RM,6,1.5Fin,CompShg,None,3,3,3,3,1,4,5,5,4,0,Attchd,0,1.0,WD ,1558,910.0,282.0,910,1950,1950,0.0,420.0,71,152000
FV,8,2Story,CompShg,None,4,3,4,3,1,6,7,5,3,4,Attchd,1,2.0,WD ,1947,991.0,678.0,991,2005,2004,0.0,222.0,17,254900
RL,6,2Story,CompShg,BrkFace,4,3,4,3,3,6,7,5,3,0,Attchd,0,2.0,WD ,1657,832.0,483.0,832,1995,1994,145.0,537.0,27,189000
RL,7,1Story,CompShg,BrkFace,4,4,4,3,1,6,7,5,3,2,Attchd,2,2.0,WD ,2064,2048.0,550.0,2064,1978,1978,383.0,1206.0,43,235000
RL,5,1Story,CompShg,None,3,3,3,3,1,5,5,5,3,0,Detchd,0,1.0,ConLD,1164,1164.0,240.0,1164,1950,1950,0.0,1040.0,71,125000
RL,4,1Story,CompShg,None,3,3,4,3,1,1,7,6,2,0,Attchd,0,1.0,WD ,836,836.0,308.0,836,1975,1975,0.0,0.0,46,120000
A (agr),6,1Story,CompShg,None,3,2,0,0,0,0,1,3,3,0,Attchd,0,1.0,WD ,1600,0.0,270.0,1600,1951,1951,0.0,0.0,70,81500
RL,5,SFoyer,CompShg,BrkFace,3,4,4,3,3,6,6,5,3,0,NA,0,0.0,WD ,816,816.0,0.0,816,1990,1990,104.0,816.0,31,118500
FV,7,1Story,CompShg,Stone,5,3,5,3,2,6,9,5,2,4,Attchd,1,3.0,New,1766,1766.0,478.0,1766,2009,2009,162.0,1121.0,12,370878
RH,8,2Story,CompShg,None,3,3,3,3,1,4,5,6,4,0,2Types,0,3.0,WD ,2002,1001.0,871.0,1001,1950,1949,0.0,284.0,72,145000
RL,8,1.5Fin,CompShg,BrkFace,4,4,3,3,1,4,7,9,3,3,Attchd,2,2.0,WD ,1954,798.0,431.0,1137,2006,1939,312.0,341.0,82,311500
RL,6,1Story,CompShg,BrkFace,4,3,4,3,3,6,7,5,2,4,Attchd,1,2.0,New,1364,1220.0,437.0,1364,2006,2006,14.0,453.0,15,210250
RL,8,2Story,CompShg,None,4,3,4,3,1,6,7,5,3,0,BuiltIn,0,2.0,WD ,1861,916.0,492.0,920,2002,2002,0.0,700.0,19,200000
RL,8,1.5Fin,CompShg,None,3,3,0,0,0,0,5,5,4,0,Attchd,0,2.0,COD,1734,0.0,539.0,1302,1977,1977,0.0,0.0,44,126000
RL,6,2Story,CompShg,None,4,4,2,3,1,1,4,8,2,0,Detchd,0,1.0,WD ,1039,405.0,281.0,717,2003,1900,0.0,0.0,121,114000
RM,7,2Story,CompShg,None,4,4,2,3,1,1,4,4,3,0,Detchd,0,2.0,WD ,1510,677.0,720.0,833,1950,1910,0.0,0.0,111,87500
